"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"MGLL.2",4.36274298804324e-32,0.1434248903442,0.336,0.201,1.46998262239129e-27,"3","MGLL"
"TSPAN4.2",5.98328183292111e-32,0.174928538297976,0.367,0.232,2.01600698078444e-27,"3","TSPAN4"
"HCST.1",7.61075107816454e-32,-0.37355778236189,0.451,0.552,2.56436646827676e-27,"3","HCST"
"SNTB1.2",8.92591762007801e-32,0.155703762605435,0.458,0.306,3.00749868290909e-27,"3","SNTB1"
"RP3-460G2.2.3",1.18542933343228e-31,0.130107831307922,0.35,0.215,3.99418559606671e-27,"3","RP3-460G2.2"
"SAA1",1.99257006574243e-31,0.111586385765626,0.136,0.059,6.71376557951254e-27,"3","SAA1"
"TGFBI.3",1.680088121931e-30,-0.484047067666158,0.298,0.409,5.66088891803431e-26,"3","TGFBI"
"RPS27L.2",1.73679430982993e-30,0.20250993062788,0.932,0.841,5.85195474754097e-26,"3","RPS27L"
"CYBA.2",7.21842711289896e-30,-0.22811212160252,0.937,0.923,2.43217683142018e-25,"3","CYBA"
"PSAP.1",1.32304711202803e-28,0.176185331913246,0.988,0.931,4.45787493926724e-24,"3","PSAP"
"MGST1.2",2.17345496705059e-28,0.26385229240369,0.557,0.413,7.32323916598026e-24,"3","MGST1"
"CD68.3",2.50188497514082e-28,0.177905070835025,0.933,0.813,8.42985123523947e-24,"3","CD68"
"AIF1.1",2.90084137538328e-28,-0.354992824163624,0.825,0.801,9.77409493021644e-24,"3","AIF1"
"H3F3B.2",8.76273856927172e-28,-0.23662297918861,0.888,0.887,2.95251713353042e-23,"3","H3F3B"
"SLC1A3.1",9.19427655785724e-28,0.134030002098029,0.354,0.224,3.09791954340442e-23,"3","SLC1A3"
"SEMA3C.2",1.41027287384881e-27,0.134273359200684,0.285,0.171,4.75177342114619e-23,"3","SEMA3C"
"DEFB1.3",1.68098147858995e-27,0.226312688584221,0.377,0.248,5.66389899396097e-23,"3","DEFB1"
"FMNL2.2",1.90747458014676e-27,0.120800743067612,0.395,0.258,6.42704485034648e-23,"3","FMNL2"
"IL1RN.3",2.07845038652686e-27,-0.601871730012776,0.094,0.201,7.0031307323636e-23,"3","IL1RN"
"FCHO2.1",3.2154475567526e-27,0.134393703139005,0.321,0.199,1.08341289977222e-22,"3","FCHO2"
"AGRP.2",4.1439935082871e-27,0.169563350572583,0.41,0.276,1.39627717268226e-22,"3","AGRP"
"RABGGTB.1",6.65953700028082e-27,0.139373071136897,0.458,0.314,2.24386439687462e-22,"3","RABGGTB"
"YBX1.3",8.27753921919206e-27,0.141536306197561,0.966,0.928,2.78903406451457e-22,"3","YBX1"
"CALM1.2",9.93109864336814e-27,-0.24162672184815,0.852,0.835,3.34618437689646e-22,"3","CALM1"
"LIMD2.3",9.96443437497291e-27,-0.314876195675254,0.033,0.122,3.35741651830337e-22,"3","LIMD2"
"KIF16B.2",1.53966334046408e-26,0.145237215643025,0.31,0.193,5.18774165935966e-22,"3","KIF16B"
"GM2A.2",1.57334198378017e-26,0.160560755434154,0.5,0.354,5.30121848014889e-22,"3","GM2A"
"C9orf16.3",1.84165492659683e-26,0.211770500246725,0.744,0.612,6.20527210967534e-22,"3","C9orf16"
"PCOLCE2.3",3.66751460630938e-26,0.131396730245832,0.497,0.337,1.23573237144988e-21,"3","PCOLCE2"
"GNG12",1.00045181395861e-25,0.11447965359924,0.168,0.087,3.37092234195213e-21,"3","GNG12"
"HSD17B14.2",1.28317597451157e-25,0.108762762103452,0.274,0.166,4.32353312851929e-21,"3","HSD17B14"
"TREM1.3",2.30311040651646e-25,0.179329718127047,0.721,0.573,7.76010020371656e-21,"3","TREM1"
"LINC01272.3",2.7855373905296e-25,0.171286222896463,0.764,0.607,9.38558968365044e-21,"3","LINC01272"
"CD44.1",2.99409661680649e-25,-0.322008088245538,0.784,0.782,1.00883091406678e-20,"3","CD44"
"CD81.2",4.23393896491404e-25,0.153175752530281,0.852,0.712,1.42658339483814e-20,"3","CD81"
"PSMA7.2",4.67196052304557e-25,0.167729037365424,0.958,0.918,1.57417037863497e-20,"3","PSMA7"
"ZFAS1.2",4.67355659401419e-25,0.169490788672787,0.867,0.81,1.57470815878714e-20,"3","ZFAS1"
"LY96",4.84486025687196e-25,0.166630808361892,0.746,0.606,1.63242721495044e-20,"3","LY96"
"FAIM.2",5.97304618467283e-25,0.116801031478996,0.186,0.101,2.01255818146366e-20,"3","FAIM"
"GPR183.2",7.74921911296577e-25,-0.367840020178424,0.051,0.142,2.61102188792269e-20,"3","GPR183"
"PKM.2",8.99762465967704e-25,-0.293931165727045,0.692,0.705,3.03165965283158e-20,"3","PKM"
"SH3BGRL3.3",1.85017120894932e-24,-0.226508476845558,0.947,0.925,6.23396687143383e-20,"3","SH3BGRL3"
"PLIN2.2",2.68821606830028e-24,0.181150887046219,0.853,0.696,9.05767522053095e-20,"3","PLIN2"
"BSG.2",3.67555367920162e-24,0.192361341855404,0.696,0.548,1.2384410566702e-19,"3","BSG"
"USMG5.1",4.02791290294599e-24,0.144568529922525,0.9,0.815,1.35716497351862e-19,"3","USMG5"
"SLC17A5.2",5.60015384798938e-24,0.124181547223552,0.299,0.188,1.88691583754154e-19,"3","SLC17A5"
"TBC1D2.1",5.88507447958783e-24,0.103673828119985,0.24,0.141,1.98291699515232e-19,"3","TBC1D2"
"CD36.3",6.16842953614899e-24,0.315169577766366,0.329,0.216,2.07839064791004e-19,"3","CD36"
"AXL.3",1.14821241493014e-23,0.146250787792391,0.403,0.277,3.86878691086561e-19,"3","AXL"
"KLHL6.1",1.23953407037029e-23,0.128231975017443,0.318,0.203,4.17648609670565e-19,"3","KLHL6"
"RPS6.3",1.4962959587257e-23,-0.204966076938438,0.972,0.971,5.04161960333036e-19,"3","RPS6"
"SELM.2",1.95173988594329e-23,0.104357480562502,0.336,0.219,6.57619237169731e-19,"3","SELM"
"PDLIM1.3",2.02908892282628e-23,0.124051537708871,0.568,0.416,6.83681221657087e-19,"3","PDLIM1"
"MIR4458HG.1",4.47471033776303e-23,0.123013550063888,0.291,0.183,1.50770890120587e-18,"3","MIR4458HG"
"BCL2A1.1",9.33521714015857e-23,0.188568485847474,0.686,0.551,3.14540806320503e-18,"3","BCL2A1"
"H2AFY.2",1.13018379803334e-22,0.140372243095311,0.868,0.773,3.80804128909353e-18,"3","H2AFY"
"MDM2.2",1.32268509449525e-22,0.144605917656954,0.416,0.29,4.45665515739229e-18,"3","MDM2"
"AREG.3",1.54960449837997e-22,-0.949413068931526,0.221,0.319,5.22123739684148e-18,"3","AREG"
"PDCL.3",1.76311111101541e-22,0.108547034796787,0.356,0.237,5.94062657745532e-18,"3","PDCL"
"MEF2C.2",1.92077438538642e-22,-0.346444876976471,0.067,0.155,6.471857214121e-18,"3","MEF2C"
"RPS7.3",1.96555780741424e-22,-0.189849068889859,0.947,0.945,6.62275047630152e-18,"3","RPS7"
"DDAH2.2",2.20407956758246e-22,0.147461350802023,0.565,0.424,7.42642569501236e-18,"3","DDAH2"
"LST1.2",2.62242152459835e-22,-0.404742065157561,0.666,0.675,8.83598708498166e-18,"3","LST1"
"APIP.3",2.62344843770375e-22,0.144586465097448,0.475,0.339,8.83944716599902e-18,"3","APIP"
"SPATS2L.3",5.13640207738693e-22,0.135399485459644,0.508,0.372,1.73065931595475e-17,"3","SPATS2L"
"IFI6.2",5.88323426182328e-22,0.183375574017884,0.791,0.626,1.98229695217874e-17,"3","IFI6"
"ATOX1.2",7.53651707793726e-22,0.156997512057359,0.711,0.574,2.53935406424018e-17,"3","ATOX1"
"TMEM251.2",1.27372225696888e-21,0.119451080739993,0.441,0.312,4.29167977263094e-17,"3","TMEM251"
"S100A8.3",1.28155992942548e-21,-1.76443519680775,0.273,0.365,4.31808802620621e-17,"3","S100A8"
"CFP.3",1.3610028969496e-21,-0.302595123014439,0.041,0.119,4.58576316098197e-17,"3","CFP"
"ERGIC1",1.3847464703576e-21,0.150721083654338,0.502,0.365,4.6657647572229e-17,"3","ERGIC1"
"STX7.1",1.44260062686642e-21,0.114886313167343,0.534,0.399,4.86069855216371e-17,"3","STX7"
"LIPA.3",2.76799879854385e-21,0.166087674236282,0.668,0.516,9.32649515181366e-17,"3","LIPA"
"TPI1.1",3.18614308036297e-21,-0.258518472001051,0.625,0.648,1.0735390494975e-16,"3","TPI1"
"BTG1.3",3.21767441874752e-21,-0.36188609016942,0.711,0.728,1.08416321865279e-16,"3","BTG1"
"TNFAIP2",3.40412964315553e-21,0.140410822543234,0.492,0.364,1.14698744196482e-16,"3","TNFAIP2"
"FPR2.2",4.79163764024381e-21,-0.312553747543886,0.188,0.284,1.61449438650375e-16,"3","FPR2"
"RPSA.2",5.45272933224362e-21,-0.221733680910404,0.893,0.886,1.83724262120617e-16,"3","RPSA"
"NMB.2",5.95953631420629e-21,0.11500088989791,0.306,0.2,2.00800616570867e-16,"3","NMB"
"USF2.2",6.06698582501638e-21,0.108655838010782,0.481,0.347,2.04421020388102e-16,"3","USF2"
"PEBP1.3",1.03936704441272e-20,0.124942360438851,0.792,0.655,3.50204331944422e-16,"3","PEBP1"
"B3GNT2.2",1.13717794284562e-20,0.106824049024212,0.302,0.197,3.83160736062403e-16,"3","B3GNT2"
"ARPC2",1.90993134792971e-20,-0.161962330618915,0.913,0.898,6.43532268371437e-16,"3","ARPC2"
"PTPRE.2",2.13381984361712e-20,-0.344585146133693,0.244,0.335,7.18969258108352e-16,"3","PTPRE"
"AGPS.1",3.68425951969658e-20,0.101174550556078,0.302,0.197,1.24137440256656e-15,"3","AGPS"
"FAM89A.3",4.09003371629507e-20,0.104678130706827,0.422,0.3,1.37809596036846e-15,"3","FAM89A"
"B2M.1",4.25497126234962e-20,0.119956258142175,1,0.999,1.43367001713608e-15,"3","B2M"
"EPB41L4A-AS1.2",4.87224641111999e-20,0.114838520458237,0.399,0.277,1.64165470576277e-15,"3","EPB41L4A-AS1"
"MS4A6A.2",5.31066302983279e-20,-0.545613316534462,0.306,0.384,1.78937480127186e-15,"3","MS4A6A"
"SCCPDH.2",5.40720096170841e-20,0.143997829502587,0.43,0.313,1.82190229203803e-15,"3","SCCPDH"
"LGALS3BP.3",5.7520866440854e-20,0.118404358244405,0.555,0.409,1.93810807385814e-15,"3","LGALS3BP"
"LAMP1.3",5.96421915410504e-20,0.128954445835545,0.757,0.606,2.00958400178415e-15,"3","LAMP1"
"LCP1.1",6.08227181008614e-20,-0.313132230553701,0.671,0.687,2.04936066369042e-15,"3","LCP1"
"RDX.2",1.04758282494638e-19,0.122911935430204,0.568,0.436,3.52972557037433e-15,"3","RDX"
