"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","category"
"Pmepa1.1",3.11196234171614e-286,0.576822555609905,0.535,0.177,3.81122027989975e-282,1,"Pmepa1",NA
"5031439G07Rik",3.30610714695976e-286,0.336396204773777,0.504,0.148,4.04898942288161e-282,1,"5031439G07Rik",NA
"S100a6.1",7.60618452204094e-286,0.487073295379544,0.965,0.604,9.31529418414354e-282,1,"S100a6",NA
"Lrrc25.1",2.2611197406569e-284,0.29415335576838,0.529,0.155,2.76919334638251e-280,1,"Lrrc25","CM"
"Sgpl1.1",2.32756491400968e-282,0.40150041256996,0.59,0.197,2.85056875018766e-278,1,"Sgpl1",NA
"Adam9",9.42705420945947e-282,0.308613051164438,0.419,0.108,1.1545313290325e-277,1,"Adam9","CM"
"Emilin2.1",2.0871636256111e-281,0.365141058881724,0.566,0.18,2.55614929228591e-277,1,"Emilin2","CM"
"Bcl2a1b.1",2.36357231466699e-280,0.366758155136528,0.843,0.416,2.89466701377266e-276,1,"Bcl2a1b",NA
"Lipa.1",3.45537389772451e-280,0.553165740449267,0.596,0.213,4.23179641254321e-276,1,"Lipa",NA
"Rac2",1.3727309479188e-279,-0.945676929914917,0.768,0.834,1.68118359191615e-275,1,"Rac2",NA
"Tmed3.1",5.50282743821917e-279,0.430656195103997,0.635,0.234,6.73931276358702e-275,1,"Tmed3",NA
"Prkcd.1",9.89785506188772e-279,0.57529861178913,0.803,0.349,1.21219030942939e-274,1,"Prkcd",NA
"Sh3bgrl.1",1.66554389760033e-278,0.485366799837907,0.774,0.325,2.03979161139112e-274,1,"Sh3bgrl",NA
"Tmem86a",1.73821221126283e-278,0.321808881352503,0.354,0.08,2.12878849513359e-274,1,"Tmem86a",NA
"Unc93b1.1",2.30557810525217e-278,0.505079858932269,0.855,0.398,2.82364150550233e-274,1,"Unc93b1",NA
"Clec5a.1",2.70851348579717e-278,0.280850061358653,0.428,0.113,3.3171164660558e-274,1,"Clec5a",NA
"Lpl.1",2.74281590705151e-278,0.800006582847082,0.741,0.301,3.35912664136599e-274,1,"Lpl","CM"
"Alas1.1",3.46699902724216e-278,0.519611323751327,0.55,0.181,4.24603370866347e-274,1,"Alas1",NA
"Myo1e",4.60077458535236e-278,0.309032347320122,0.357,0.081,5.63456863468103e-274,1,"Myo1e",NA
"Atp6v0a1",9.39856772416426e-278,0.33085063851244,0.45,0.124,1.1510425891784e-273,1,"Atp6v0a1",NA
"Sirpa.1",7.64759327048134e-276,0.399724532439661,0.811,0.32,9.36600747835849e-272,1,"Sirpa","CM"
"Rpl18a.1",9.94821921417847e-276,-0.814281700907459,0.992,0.994,1.21835840716044e-271,1,"Rpl18a",NA
"Ptprcap.1",1.98583978535335e-275,-1.49182934543877,0.085,0.48,2.43205798512225e-271,1,"Ptprcap",NA
"Acp2",4.38015543136919e-275,0.309078474708978,0.371,0.088,5.36437635679785e-271,1,"Acp2","CM"
"P4hb.1",4.42626376562703e-274,0.460083658989512,0.761,0.312,5.42084523376343e-270,1,"P4hb",NA
"Gns",4.58779670859132e-274,0.468403772655518,0.678,0.256,5.61867462901179e-270,1,"Gns","CM"
"Rps27l.1",6.98248910107211e-274,0.523305017027058,0.893,0.506,8.55145440208301e-270,1,"Rps27l",NA
"Rps14.1",7.23267370441764e-274,-0.593695032653737,0.988,0.991,8.85785548580029e-270,1,"Rps14",NA
"Cd86",2.10045925378924e-273,0.368523354827939,0.435,0.118,2.57243244811569e-269,1,"Cd86","CM"
"Nrp2.1",2.3892053117114e-273,0.361491981094898,0.443,0.122,2.92605974525296e-269,1,"Nrp2","CM"
"Naaa.1",2.55657868190844e-272,0.465604038509651,0.72,0.278,3.13104191173327e-268,1,"Naaa",NA
"Plxnb2",2.71123236661745e-272,0.312893833403791,0.361,0.086,3.32044627939639e-268,1,"Plxnb2",NA
"Slc15a3.1",1.45419765417471e-270,0.492507045562881,0.743,0.297,1.78095586706777e-266,1,"Slc15a3",NA
"2010111I01Rik",3.93091891743987e-270,0.339074799536079,0.447,0.125,4.81419639818861e-266,1,"2010111I01Rik",NA
"Dtnbp1",4.00980427787675e-270,0.358058724966263,0.527,0.17,4.91080729911566e-266,1,"Dtnbp1",NA
"Rgs1.1",1.42897211343413e-269,0.763093879042436,0.696,0.315,1.75006214732278e-265,1,"Rgs1",NA
"Mmp19.1",5.39005483353217e-268,0.732269853238807,0.368,0.092,6.60120015462685e-264,1,"Mmp19",NA
"Cltc",1.86387501726484e-267,0.449550416622599,0.683,0.265,2.28268773364424e-263,1,"Cltc","CM"
"Nupr1.1",1.94676027874445e-267,0.316636434745889,0.37,0.09,2.38419731337833e-263,1,"Nupr1",NA
"Eif4a1.1",3.72962797486089e-267,0.569216519823836,0.94,0.653,4.56767538081214e-263,1,"Eif4a1",NA
"Tmem189.1",8.14897648752074e-267,0.402869356861871,0.632,0.226,9.98005150426665e-263,1,"Tmem189",NA
"Gsn.1",9.17983419839872e-266,0.405639300449714,0.738,0.29,1.12425429427789e-261,1,"Gsn",NA
"Pea15a",1.30391530648303e-265,0.299946284629677,0.397,0.101,1.59690507584977e-261,1,"Pea15a",NA
"Fcer1g.1",3.44098254542836e-264,0.563791969258124,0.993,0.678,4.21417132338611e-260,1,"Fcer1g",NA
"Pld3.1",3.64677840772801e-264,0.632806705397045,0.765,0.347,4.46620951594449e-260,1,"Pld3","CM"
"Tmem65",5.28707443585806e-264,0.262794090684462,0.364,0.087,6.47508006159537e-260,1,"Tmem65",NA
"Amdhd2",2.00489032665264e-263,0.342749500130863,0.484,0.147,2.45538918305149e-259,1,"Amdhd2",NA
"Nek6",4.08384530354068e-263,0.253727318683193,0.351,0.082,5.00148534324628e-259,1,"Nek6",NA
"Tmem176b.1",4.73048275779519e-263,0.496476237648774,0.436,0.121,5.79342223347177e-259,1,"Tmem176b",NA
"Sdf2l1.1",1.24602044255604e-262,0.445071103741285,0.598,0.219,1.52600123599838e-258,1,"Sdf2l1",NA
"Nrp1",2.76081491390095e-262,0.310647121996071,0.327,0.072,3.3811700250545e-258,1,"Nrp1","CM"
"Tmem256.1",2.43144782451017e-261,0.493482641720404,0.833,0.395,2.97779415067761e-257,1,"Tmem256",NA
"Rpn1.1",1.08641327804315e-260,0.382955332787692,0.612,0.219,1.33053034161945e-256,1,"Rpn1","CM"
"Irf5",2.50262422095259e-260,0.338628899043245,0.564,0.185,3.06496388340064e-256,1,"Irf5","TF"
"Gatm",6.0696030505841e-260,0.396219077009994,0.272,0.051,7.43344285605034e-256,1,"Gatm",NA
"Plxdc2",1.57084454417721e-259,0.299990323637631,0.234,0.037,1.92381331325382e-255,1,"Plxdc2","CM"
"Tnf.1",4.65589052803501e-259,0.467766546490072,0.435,0.127,5.70206912968447e-255,1,"Tnf","Sec"
"Camk1.1",6.79768376782752e-259,0.39212528906803,0.593,0.206,8.32512331045836e-255,1,"Camk1",NA
"Klf2.1",9.89486556473072e-259,-1.55166532185228,0.486,0.696,1.21182418571257e-254,1,"Klf2","TF"
"Maf.1",1.64949588772288e-257,0.396348099098697,0.358,0.084,2.02013761369421e-253,1,"Maf","TF"
"Cfp.1",7.80041865566883e-257,0.466644047065654,0.632,0.238,9.55317272759762e-253,1,"Cfp","Sec"
"Dbi.1",6.22203104894013e-256,0.469386349138686,0.903,0.483,7.62012142563698e-252,1,"Dbi",NA
"Atp6v1a.1",3.14690454684448e-255,0.403570062002855,0.605,0.218,3.85401399852044e-251,1,"Atp6v1a","CM"
"Nfic",2.6851492634672e-254,0.341295329101716,0.443,0.128,3.28850230296828e-250,1,"Nfic","TF"
"Atpif1.1",7.1012155322994e-254,0.508815024266077,0.873,0.467,8.69685866240708e-250,1,"Atpif1",NA
"Mef2a",5.5279282369028e-253,0.355474362541123,0.585,0.203,6.77005371173486e-249,1,"Mef2a","TF"
"Soat1.1",8.94023022974421e-253,0.388066295899556,0.582,0.207,1.09490999623677e-248,1,"Soat1",NA
"Tnip3",4.74980217840343e-250,0.481337311429895,0.233,0.038,5.81708272789068e-246,1,"Tnip3",NA
