"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"GS1-600G8.5.DC",4.37720634572001e-27,-0.332066831551016,0.009,0.108,1.4748559061269e-22,"DC","GS1-600G8.5"
"ABI3.DC",4.7342407070234e-27,0.294907253891464,0.256,0.152,1.59515506382447e-22,"DC","ABI3"
"ADGRE2.DC",7.65459705230859e-27,0.207255125965837,0.2,0.101,2.57913993080486e-22,"DC","ADGRE2"
"EVL.DC",7.85849487369242e-27,-0.266282005091789,0.227,0.394,2.64784126274192e-22,"DC","EVL"
"NUCB1.DC",9.23963962960623e-27,-0.211905844006138,0.293,0.467,3.11320417679952e-22,"DC","NUCB1"
"ITGB2.DC",9.84200671178631e-27,0.282671121356106,0.672,0.595,3.31616574146928e-22,"DC","ITGB2"
"IER2.DC",1.09436605656873e-26,0.304588617490751,0.471,0.359,3.68735699100269e-22,"DC","IER2"
"PRMT2.DC",1.31217323404229e-26,0.334103106090759,0.572,0.47,4.42123649478209e-22,"DC","PRMT2"
"C15orf48.DC",1.33112469367144e-26,0.697158412466712,0.376,0.26,4.48509154285653e-22,"DC","C15orf48"
"PEA15.DC",1.68391928061512e-26,0.3517479542383,0.279,0.169,5.6737976241046e-22,"DC","PEA15"
"FPR3.DC",1.76907494958117e-26,0.263012876016488,0.366,0.236,5.9607211351188e-22,"DC","FPR3"
"ATP6V0B.DC",1.80653597796327e-26,-0.234529350607745,0.757,0.796,6.08694232414944e-22,"DC","ATP6V0B"
"SLC8A1.DC",1.82281771588081e-26,0.324592595902369,0.373,0.263,6.14180201188881e-22,"DC","SLC8A1"
