"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","category"
"Fcrl1.Mac",1.26578004750791e-111,-0.365633369998979,0.011,0.106,1.55020082418294e-107,"Mac","Fcrl1",NA
"Btg2.Mac",5.30543249294853e-111,-0.7011103562049,0.702,0.707,6.49756317411406e-107,"Mac","Btg2",NA
"Ptp4a3.Mac",1.13215251895453e-110,-0.546981279012264,0.11,0.236,1.38654718996362e-106,"Mac","Ptp4a3",NA
"Igfbp4.Mac",1.44751280621772e-110,-1.02714483555204,0.063,0.182,1.77276893377484e-106,"Mac","Igfbp4",NA
"Cdkn2d.Mac",2.44633289982647e-110,-0.542292070679399,0.222,0.347,2.99602390241748e-106,"Mac","Cdkn2d",NA
"Pecam1.Mac",8.3225028522357e-110,-0.390131723535268,0.047,0.161,1.01925692431331e-105,"Mac","Pecam1","CM"
"Trim12a.Mac",1.48663887275884e-109,-0.450063221189857,0.115,0.244,1.82068662746775e-105,"Mac","Trim12a",NA
"Rflnb.Mac",4.13357561770776e-108,-0.326950737614838,0.021,0.12,5.06239005900669e-104,"Mac","Rflnb",NA
"Naca.Mac",5.76659066375092e-108,-0.271415293717512,0.922,0.851,7.06234358589575e-104,"Mac","Naca",NA
"Ier2.Mac",1.05882599342786e-106,-0.557179277615949,0.657,0.658,1.2967441941511e-102,"Mac","Ier2",NA
"Vgll4.Mac",4.42070922484011e-106,-0.489923499977523,0.123,0.249,5.41404258766168e-102,"Mac","Vgll4",NA
"Ddit4.Mac",5.29397200749075e-105,-0.407631532531891,0.074,0.197,6.48352751757392e-101,"Mac","Ddit4",NA
"Psmb8.Mac",2.05373061016713e-104,-0.395616492141188,0.768,0.698,2.51520387827169e-100,"Mac","Psmb8",NA
"Cd8a.Mac",5.986928385279e-104,-0.41733152021397,0.014,0.106,7.3321911934512e-100,"Mac","Cd8a","CM"
"Cd6.Mac",6.1954833967293e-104,-0.286971207164192,0.011,0.101,7.58760851597437e-100,"Mac","Cd6","CM"
"H3f3a.Mac",6.34494607523179e-104,-0.328035962890224,0.965,0.959,7.77065545833638e-100,"Mac","H3f3a",NA
"Iglc1.Mac",1.1400527600603e-103,-0.989921119643346,0.028,0.129,1.39622261524585e-99,"Mac","Iglc1",NA
"Bc1.Mac",1.15872868981396e-103,0.334913046341355,0.213,0.086,1.41909502641515e-99,"Mac","Bc1",NA
"Supt4a.Mac",2.51151084761069e-102,-0.451751977337188,0.544,0.556,3.07584733506881e-98,"Mac","Supt4a",NA
